Accession,Liquid culture rna expression levels
AO090023000570,138.061230535728
AO090038000375,401.046273277827
AO090012000626,613.609049267828
AO090103000133,11.0302562231435
AO090005001132,438.691654590227
AO090009000264,463.072563491337
AO090003000805,435.750289117762
AO090001000675,1101.4078915444
AO090020000403,746.796150176286
AO090005000617,508.512878828791
AO090026000179,34.2924217762499
AO090012000613,424.045848426293
AO090010000480,722.851266855195
AO090005000428,407.469911017014
AO090009000459,399.342578749098
AO090009000313,127.517567640377
AO090701000065,608.062508631476
AO090003000984,365.927361876011
AO090023000366,322.456247454735
AO090020000450,611.070264959655
AO090003000071,737.941958188572
AO090005001117,491.600726144013
AO090003000422,428.171546635533
AO090010000640,1852.92704140056
AO090102000339,637.072510228015
AO090020000007,782.193406366315
AO090011000108,349.312689224509
AO090003001323,273.257048148702
AO090001000635,1022.08717448918
AO090005001192,225.053647243326
AO090003001096,190.479579481387
AO090005001419,994.653430846085
AO090010000443,525.253040903437
AO090010000223,378.205844013064
AO090003000121,666.585630324051
AO090003001047,699.59885282242
AO090026000189,675.597353350579
AO090005001264,110.859428700928
AO090023000918,368.916503082662
AO090009000653,286.594995577589
AO090005001556,665.318659257407
AO090012000670,162.559063699083
AO090026000260,416.564672025394
AO090026000494,254.542772464725
AO090009000377,368.893633173798
AO090010000237,876.379215584991
AO090102000620,587.094585141693
AO090038000558,336.182415064403
AO090120000264,100.556241288756
AO090009000117,248.430529196372
AO090003000241,115.990567098488
AO090003000982,350.382136991627
AO090003000627,124.933894460795
AO090003000635,305.392948868568
AO090005000582,609.821326942589
AO090010000463,847.771668263219
AO090010000018,469.367617955999
AO090003000790,1481.50432593578
AO090012000998,172.028664169318
AO090005001239,219.396123230105
AO090023000895,323.768106230709
AO090003000613,848.970065777039
AO090005000604,399.329350791917
AO090005001407,257.427154831641
AO090701000089,343.656731999327
AO090120000493,448.380378246375
AO090023000429,365.300683485818
AO090701000167,341.266279998628
AO090038000613,373.83856681453
AO090001000304,141.784991425345
AO090023000654,63.8997477054863
AO090003000693,483.023913089989
AO090120000137,408.731732363849
AO090012000526,539.181403933851
AO090003000631,60.3743766261938
AO090102000502,254.294101923701
AO090020000693,185.705401153822
AO090011000659,524.395456265166
AO090003000607,242.477196945744
AO090026000255,333.25312496594
AO090012000801,286.43437388271
AO090102000627,182.13195902849
AO090120000175,308.3579868786
AO090009000169,157.429748442848
AO090010000541,54.4632705403252
AO090023000687,28.2049215564208
AO090005001302,356.518778544949
AO090120000257,391.445755179313
AO090009000708,377.619154122326
AO090005000730,356.687095244567
AO090003001227,443.673834787032
AO090012000287,783.034629832872
AO090001000712,202.253248236047
AO090023000843,618.725126724558
AO090023000039,4.31282561941247
AO090005000438,270.672116792796
AO090020000122,321.622496864633
AO090011000201,50.0103571641298
AO090103000007,179.969053736424
AO090005000456,339.351113435259
AO090010000445,20.664187702358
AO090012000143,3.47961284210263
AO090026000557,130.527915881801
AO090038000244,169.884615178035
AO090005001147,40.4048362895268
AO090011000722,156.28590676789
AO090020000596,322.620147143387
AO090038000281,122.807736871471
AO090026000254,179.213246312417
AO090003000003,253.083318948952
AO090120000068,137.101141377717
AO090038000357,233.936079599441
AO090009000467,207.649432544387
AO090102000310,298.055457807033
AO090003000270,237.580437382417
AO090038000615,380.677858016921
AO090010000472,106.783071708647
AO090124000079,254.09390469141
AO090012000247,16.4266823954983
AO090012000125,502.375959960846
AO090003000144,114.386800392427
AO090701000013,378.837047119849
AO090003000648,160.549579016346
AO090003000392,81.1733386655902
AO090011000486,202.624871931262
AO090003000415,147.530144209901
AO090038000279,272.679213422163
AO090003000636,224.558486044921
AO090701000557,66.4654518953203
AO090001000224,340.853583898596
AO090005000749,204.214280935859
AO090020000687,1.97436086484354
AO090206000001,319.06352389963
AO090012000463,13.4295675427784
AO090103000332,639.598885113821
AO090701000725,209.687675370243
AO090011000335,687.553106991862
AO090010000746,194.018355320838
AO090166000087,6.00356498893321
AO090005001427,186.41788892564
AO090103000150,721.115388450581
AO090012000623,338.878996257705
AO090001000091,58.5566003774454
AO090005000409,420.334619984277
AO090011000142,427.129144615704
AO090001000110,462.09787998646
AO090102000107,245.525083375956
AO090005001509,274.01296281204
AO090102000528,240.471546633662
AO090003000207,17.7919415866361
AO090020000521,93.7705013552811
AO090005001461,187.917595634071
AO090003001168,141.778585176148
AO090120000174,380.360517458458
AO090003001388,104.912809195793
AO090005000630,35.0554254682132
AO090012000625,317.909477268354
AO090005001646,96.8435542616166
AO090102000626,327.572407356213
AO090011000565,79.9407513685261
AO090012000585,82.4300261167391
AO090005000782,221.053423635158
AO090026000183,174.464787063711
AO090005001538,278.323373911241
AO090005001491,438.481757836537
AO090009000281,288.639644193528
AO090010000153,134.040841634633
AO090020000169,176.553410198859
AO090011000576,332.307789454806
AO090003000053,261.51858248339
AO090005001514,443.188614579356
AO090120000335,297.07860359791
AO090103000399,538.398676445556
AO090012001027,54.6599809942357
AO090009000617,482.998884837209
AO090011000484,206.574346998409
AO090010000485,583.24745191466
AO090011000679,107.945220890735
AO090011000215,177.233658570412
AO090011000337,207.315890782307
AO090005000840,380.072427003494
AO090001000707,306.353015553699
AO090003000230,29.7150135526804
AO090003000008,154.004721402596
AO090020000434,3.42510373749701
AO090005001437,245.274623301483
AO090012000776,343.291460919165
AO090026000372,171.888462727845
AO090113000080,238.91588361471
AO090011000381,66.4336375220724
AO090012000948,172.555852898609
AO090003000842,132.190447203791
AO090023000801,424.701979658563
AO090012000714,26.1066624303081
AO090023000140,146.670758255872
AO090003000215,95.2605969607905
AO090003001165,81.3813126460155
AO090009000346,386.199746739957
AO090011000638,85.4607513721432
AO090020000340,264.508416387263
AO090023000883,239.13300117055
AO090010000469,35.0592868889486
AO090003001019,169.991293747316
AO090009000457,419.820325356848
AO090012000675,7.54713366329221
AO090701000359,219.843828169108
AO090005000812,300.173602724533
AO090038000314,318.048201256335
AO090003000205,260.353493930483
AO090009000424,245.893616343136
AO090023000467,482.545169611215
AO090005001467,569.661206755596
AO090001000495,301.150713144606
AO090005001486,168.800748874946
AO090003000546,124.846862838043
AO090012000430,207.923944535113
AO090003001324,125.691015910729
AO090124000083,149.423376560977
AO090124000074,148.441271140774
AO090701000577,49.1346527004254
AO090010000481,196.250507198046
AO090020000588,2.60859293939401
AO090011000139,176.102167248413
AO090005000599,375.48844476234
AO090011000588,208.762765805711
AO090003000004,176.910030253448
AO090001000037,29.4232721068791
AO090005000436,193.188990578991
AO090010000725,27.0897261867951
AO090102000638,185.016287574972
AO090102000336,61.9034386465936
AO090010000444,39.9827376561242
AO090003000457,139.183050432279
AO090005000227,197.032599001182
AO090012000297,171.185745879602
AO090011000876,65.9249647674286
AO090010000475,187.944737093524
AO090005000871,266.92366303916
AO090011000790,112.154817816309
AO090103000005,172.641423625349
AO090005001207,182.599461405747
AO090701000343,93.8842631937671
AO090103000466,141.811807495256
AO090038000610,228.14017161971
AO090026000651,155.804141925624
AO090120000454,535.508558735689
AO090206000010,168.515103884853
AO090009000473,81.2621021375059
AO090003000746,183.85653923112
AO090010000477,161.548191987283
AO090011000838,147.013456789418
AO090009000659,102.530602153599
AO090003001046,162.416379642614
AO090020000043,9.44851556308934
AO090166000085,222.932923698376
AO090138000043,32.7244639897056
AO090206000040,128.799983701706
AO090701000015,146.409887316428
AO090206000037,142.524610817964
AO090009000684,230.817357897702
AO090012000274,174.592207838135
AO090012000639,184.673679405481
AO090005000114,180.06586499361
AO090102000392,131.18103515333
AO090009000036,298.833619471676
AO090023000624,51.088289413055
AO090011000798,95.0841376738689
AO090012000629,119.79929284103
AO090020000191,7.70365368056995
AO090672000005,162.487431597166
AO090005001502,132.842243876249
AO090701000324,7.29099685408091
AO090113000109,12.6130732596484
AO090701000389,170.530313595176
AO090023000206,197.555254856504
AO090011000448,570.661377150644
AO090003000729,230.115162867972
AO090023000909,51.314847233184
AO090023000205,186.500948811314
AO090001000358,64.9536197464206
AO090011000764,85.3683076456524
AO090009000629,96.097665450676
AO090023000824,149.236451212905
AO090023001002,146.081204606065
AO090020000008,131.091633647747
AO090026000700,227.774040863608
AO090012000787,63.7139374023293
AO090011000777,159.853800496479
AO090701000220,515.575394130597
AO090023000318,405.124411203801
AO090003001171,227.084963200479
AO090701000266,119.127951163747
AO090005000016,65.5967528909074
AO090701000429,0.229459564113362
AO090003001469,35.5255687173485
AO090026000516,162.981477896656
AO090011000831,225.779497433215
AO090009000190,320.196341262267
AO090005001620,153.328723905662
AO090003000206,10.6354507966543
AO090003001496,273.929206910538
AO090020000015,165.116036487937
AO090166000046,38.7436765139852
AO090020000114,49.7620490002849
AO090001000611,27.7178453560254
AO090003000506,84.3867452894249
AO090005000577,157.010754789524
AO090003000801,175.476707529997
AO090005000888,146.305444850855
AO090001000710,169.96364332462
AO090012000853,188.501894549067
AO090701000121,193.888116685697
AO090020000348,26.5723802917292
AO090701000592,180.117131529586
AO090120000432,47.9090762452307
AO090003000831,118.821662143574
AO090023000474,139.61888338437
AO090701000233,12.4350693780577
AO090011000230,190.542674621293
AO090012000528,129.269089294623
AO090038000579,107.768865868032
AO090009000202,97.5379654838799
AO090701000752,89.0933758724638
AO090010000667,113.659489310173
AO090011000376,159.492901862344
AO090020000512,238.073123135464
AO090003001045,184.379909993103
AO090009000205,192.498814262929
AO090012000242,167.320593520879
AO090005001554,124.136918155901
AO090001000327,77.5369123812383
AO090003001112,220.911083958808
AO090012000129,27.9149428342049
AO090113000132,10.5719810181404
AO090010000448,180.835783650019
AO090005001642,252.351296650758
AO090102000167,26.7730141413698
AO090038000441,103.925600654949
AO090005001361,98.9691879958661
AO090103000407,216.024102793566
AO090023000395,137.603277553034
AO090124000084,113.755154476668
AO090023000811,71.8410550316788
AO090011000580,129.097480917318
AO090038000317,234.845986843328
AO090010000533,13.77208780544
AO090701000267,86.4996996831914
AO090005001535,0.70136696955405
AO090020000688,1.19911127052789
AO090012000815,74.9349376518779
AO090026000184,61.6823538794209
AO090026000772,178.944041073805
AO090011000633,180.958460911478
AO090003000829,25.359170979681
AO090020000537,161.217277424442
AO090009000151,184.571536883686
AO090003001194,130.850536965241
AO090701000682,10.4082858281821
AO090012000436,121.04278831435
AO090010000221,99.799515338685
AO090011000715,19.8858724483743
AO090012000447,47.8736090581969
AO090701000738,54.3494181299924
AO090012000395,12.7287478201794
AO090005001107,194.687101679555
AO090009000644,90.4791643170628
AO090038000274,398.466464914733
AO090010000210,154.012613067919
AO090005001412,105.34383182991
AO090003000481,99.9470545132885
AO090020000516,45.0327030011025
AO090003001067,101.687884216528
AO090009000712,175.323794950908
AO090023001008,133.34602949657
AO090005001652,40.5337878947061
AO090012000676,194.172255577078
AO090005001222,20.0942348102762
AO090120000022,1.50191714692382
AO090020000010,51.0766480117987
AO090011000563,72.4472061614134
AO090005001391,133.407790575509
AO090012000977,9.07991003904453
AO090003000574,135.40559933215
AO090012000372,32.216122801516
AO090120000129,132.664341587781
AO090005000416,38.4879736592441
AO090701000749,175.183002393458
AO090003001238,52.0982476996433
AO090005000142,148.196794237947
AO090011000344,109.83573735352
AO090005001406,99.2371639868127
AO090003000018,4.85670192987679
AO090701000101,48.3318803615673
AO090001000693,252.503011116705
AO090038000365,129.066647986599
AO090701000437,36.7790901335989
AO090120000486,134.582181212079
AO090001000713,96.4092473851036
AO090003000818,98.574074912037
AO090010000505,99.2597662825866
AO090026000593,132.531923817215
AO090701000526,186.3290242643
AO090026000537,234.790086295072
AO090102000142,124.333339695896
AO090005001436,141.997431434901
AO090003001055,57.860253734397
AO090038000258,155.605602082457
AO090010000202,312.961985490252
AO090026000544,198.497618982013
AO090011000534,145.052126657496
AO090009000492,46.4444889158434
AO090023000536,260.345590581224
AO090023000501,60.1839656731618
AO090026000662,42.9426825427448
AO090701000730,68.8349950014727
AO090023000576,103.148681543315
AO090023000937,88.2467904131583
AO090003001082,123.457042662643
AO090102000135,10.9940335154824
AO090012000757,91.9178557645699
AO090102000586,107.945618146881
AO090001000732,37.4163630962489
AO090120000224,76.5195210403045
AO090038000451,90.6568596848893
AO090701000652,159.790611197825
AO090103000002,105.798509791961
AO090120000307,80.6220406216141
AO090011000717,81.9638474063963
AO090003001069,95.1886283829831
AO090701000373,167.704428126959
AO090005001077,90.5768683381085
AO090026000613,34.7226079601395
AO090009000174,140.592376150254
AO090003001146,119.743184297813
AO090020000497,54.0660293904243
AO090102000501,118.534895871054
AO090701000282,92.7105749528318
AO090003000967,12.4371084289788
AO090003000250,2.32592117889654
AO090005001557,69.5704557322788
AO090026000294,86.6552553876942
AO090120000498,71.5614544950063
AO090005001404,63.8052999095303
AO090038000359,83.485665015278
AO090023000584,105.832901431626
AO090003000873,68.5701664092097
AO090009000121,147.872820635868
AO090026000616,94.3078808505918
AO090003000888,161.457725812949
AO090020000618,86.9388433735741
AO090005000880,108.726623730688
AO090003001390,100.79755783563
AO090011000340,102.590785487426
AO090005000729,65.5845126116115
AO090020000037,112.849644471483
AO090038000276,118.951838036367
AO090206000117,45.487339380683
AO090012000317,46.8009819238094
AO090023000831,79.5077389652799
AO090001000329,101.852954639443
AO090009000102,2.00085168551768
AO090003000768,125.261008105914
AO090009000465,0.999259392106576
AO090005001450,100.229823573737
AO090001000592,104.201493758586
AO090103000384,128.887019963268
AO090003000161,95.5469624968039
AO090003000393,111.315049114814
AO090120000053,26.8990509272639
AO090011000883,149.106295577799
AO090001000366,60.2415304418592
AO090005000780,95.7127353247552
AO090003000039,55.0611777886328
AO090012000399,69.3000663560084
AO090038000333,122.213194444793
AO090009000695,129.879304681016
AO090001000481,57.3306433322042
AO090001000415,69.0929537240635
AO090010000754,123.98148306182
AO090011000053,110.604340630306
AO090103000044,41.0131452639226
AO090005000760,56.4345367956627
AO090020000050,67.2339129705758
AO090009000400,15.9689131944989
AO090005000074,103.466817689354
AO090026000329,84.9224250208818
AO090009000691,58.3305920159587
AO090012000783,85.9514863448431
AO090012000434,66.6688269392766
AO090023000765,102.930729733589
