Accession,"Abundances (Scaled): F16: Sample, 1","Abundances (Scaled): F17: Sample, 2","Abundances (Scaled): F18: Sample, 3","Abundances (Scaled): F28: Sample, 13","Abundances (Scaled): F29: Sample, 14","Abundances (Scaled): F30: Sample, 15","Abundance: F16: Sample, 1","Abundance: F17: Sample, 2","Abundance: F18: Sample, 3","Abundance: F28: Sample, 13","Abundance: F29: Sample, 14","Abundance: F30: Sample, 15"
AO090038000287,25.4,20.9,13.0,313.0,500.8,335.4,6822028.18554688,6897644.1796875,3441235.2109375,110040512.640625,214216503.40625,102967829.253906
AO090009000144,24.0,37.6,24.7,17.6,16.7,16.7,38624457.9140625,74599054.402832,39414370.0498047,37209432.2529297,42880745.015625,30917334.7597656
AO090011000235,10.1,33.3,22.3,22.1,21.4,20.5,5774505.63085938,23285509.8339844,12533029.6171875,16489397.6953125,19417041.4101563,13356646.1855469
AO090103000076,0.9,0.5,0.7,574.8,244.3,599.6,1814397.87890625,1294905.14648438,1379976.79101563,1485643837.19531,768370744.523438,1353229822.125
AO090020000207,40.0,32.5,34.6,12.8,16.5,11.7,11068327.7939453,11075178.1298828,9481905.24804688,4641616.43359375,7265728.9453125,3722452.31054688
AO090003000354,13.5,4.9,7.2,336.8,153.8,382.6,2790223.9375,1241642.42871094,1479209.11816406,91512628.5527344,50846638.7148438,90780110.3359375
AO090701001051,18.3,27.8,40.2,161.7,94.2,164.2,71959763.7634277,134456015.178711,156399128.100098,833672668.605469,590777800.507813,739243027.542969
AO090023000428,20.8,22.5,13.0,259.2,411.0,273.8,1803141.42089844,2396564.43896484,1109237.79882813,29430579.4140625,56777876.71875,27146809.3125
AO090005001044,67.9,47.1,45.3,36.0,36.1,36.6,59967394.6347656,51133972.4335938,39539279.5019531,41642294.71875,50833096.5078125,37042289.1679688
AO090009000471,23.3,26.2,33.4,20.9,22.0,19.0,8433790.93554688,11689952.8066406,11960078.1640625,9950884.61132813,12694683.8007813,7882833.48144531
AO090005000438,8.7,25.7,10.7,271.5,357.0,276.5,1286363.02246094,4692867.89746094,1569272.66015625,52846518.875,84520906.328125,46984835.234375
AO090003001047,7.8,5.1,3.1,244.2,593.3,259.3,1098295.85351563,887687.562011719,435767.095703125,45258430.671875,133753938.8125,41959163.1328125
AO090701000644,14.8,18.4,14.5,184.6,562.8,218.8,2272424.32128906,3474344.81933594,2194005.69335938,37117488.9921875,137695018.59375,38417732.6953125
AO090005000064,58.4,81.8,42.3,6.3,17.6,6.4,16746694.2578125,28860367.8828125,11997520.1054688,2380957.55078125,8066149.234375,2087857.48242188
AO090023000680,34.7,41.1,32.0,71.6,65.0,74.0,9089749.01953125,13269025.2792969,8281296.70214844,24607795.3398438,27195807.2929688,22214800.5546875
AO090020000710,0.2,0.3,0.2,655.9,167.6,672.2,20007.9951171875,44838.640625,24120.68359375,90104393.5,28020136.796875,80634115.25
AO090102000564,21.8,40.6,34.9,27.6,47.5,26.9,13587229.1289063,31079724.8325195,21485006.7167969,22487440.5664063,47136789.0195313,19138275.3964844
